nome_organizacao,descricao_organizacao,segmento_atuacao,tecnologias_disruptivas
Eletrobio,"Somos especializados e mais do que isso, apaixonados por auxiliar as empresas a economizarem com o ciclo de vida útil do equipamento eletrônicos.
Além disso, priorizamos o reaproveitamento dos equipamentos para que pessoas com baixo poder aquisitivo possam também ter acesso a tecnologia e informação.
Essa é a Eletrobio, contribuímos para que menos recursos naturais sejam extraídos do meio ambiente, para que os equipamentos de TI possam ter maior rendimento e geramos receitas com os equipamentos obsoletos em parceria com diversas instituições que beneficiam a Inclusão Digital.",Ciências biológicas,
Neo Things IoT,Desenvolvimento de soluções de IoT do sensor ao armazenamento em nuvem e análise de dados em um dashboard.,"Agronegócio, Saúde, Tecnologia da informação","Big Data, Impressão 3D, IOT (Internet das Coisas), Machine Learning"
Intelicoffee Cafeteiras Inteligentes,"A Intelicoffee Systems é consequência de uma constatação de um muitos anos no mercado de café, que considera uma séria barreira à expansão dos negócios de café as dificuldades com o consumo representada pela complexidade, ineficiência e alto custo de aquisição e manutenção das máquinas de café. Com o advento das novas tecnologias de IoT – Internet das Coisas, e de Big Data, além das crescentes preocupações com o meio ambiente, a Intelicoffee Systems entendeu ser o momento de uma ação efetiva para simplificar, baratear, tornar muito mais eficiente e ambientalmente sustentáveis as máquinas cafeteiras, seja para uso doméstico, seja para uso comercial.",Varejo,
AgroNeural,"Nosso objetivo é proporcionar para os consultores agrícolas estando ele em revendas, cooperativas ou indústrias o acompanhamento do monitoramento de pragas, plantas daninhas e doenças remotamente ou seja, por meio de um dashboard o consultor terá acesso a todo monitoramento dos agentes nocivos das lavouras.

Para isso o produtor terá acesso a um aplicativo que por meio do celular e sem a necessidade de internet, ele possa realizar o monitoramento. O aplicativo reconhece de forma precisa a espécie do agente nocivo sem a necessidade de ter um especialista durante a inspeção.

Contamos hoje com 16 plantas daninhas já cadastradas no sistemas e estamos trabalhando nesse momento para implementar as pragas. Em paralelo estamos desenvolvendo a plataforma completa para o produtor e para o consultor.",Agronegócio,"Deep Learning, Machine Learning"
AMANTYKIR TECNOLOGIA,"Localizada na cidade de Itajubá, sul de Minas, a Amantykir Tecnologia surgiu a partir da identificação da necessidade do mercado industrial brasileiro em obter tecnologia e soluções em balanceamento com níveis de excelência mundial.

Desde o início de suas atividades, a Amantykir Tecnologia vem atendendo grandes empresas do setor automobilístico, com destaque para os trabalhos de Retrofitting realizados para a Fiat Automóveis S.A e Pirelli Ltda.

A Amantykir executa um diagnóstico técnico gratuito para entender as reais necessidades do processo produtivo da empresa. Geramos soluções tecnológicas e inovadoras no que se refere ao balanceamento de peças rotativas para os diversos setores industriais.

Contamos com uma equipe multidisciplinar altamente capacitada nas áreas de engenharia mecânica, elétrica, eletrônica, software, desenvolvimento de projetos e usinagem. Nossos profissionais são estimulados a conhecer as complexidades que envolvem o balanceamento industrial e a partilhar uma visão diferenciada de todos os processos envolvidos na operação.

Prezamos por um atendimento pré e pós-venda personalizado, com enfoque nos serviços de instalação e na assistência técnica permanente. Entre em contato conosco e solicite-nos uma visita.","Automóveis, Indústria 4.0","Big Data, IOT (Internet das Coisas)"
300 Inteligência ,"A 300 Inteligência de Negócio é especializada em resolver uma ampla gama de problemas relacionados à gestão e análise de dados para empresas e organizações. Com expertise em Business Intelligence (BI) e integração de dados, a empresa transforma informações brutas em insights acionáveis através de painéis de controle, relatórios e análises personalizadas. Utilizando técnicas de inteligência artificial e aprendizado de máquina, a 300 realiza análise preditiva para prever tendências futuras e padrões de comportamento do cliente, permitindo que as empresas se antecipem a mudanças e se adaptem proativamente. Além disso, a empresa desenvolve soluções de automação de processos para melhorar a eficiência operacional e reduzir erros. Com dashboards e relatórios personalizados, a 300 proporciona informações relevantes e de fácil compreensão para diferentes níveis de gestão, impulsionando a produtividade e visibilidade dos dados.","Agronegócio, Gestão de negócios, Indústria 4.0, Sustentabilidade","Big Data, Blockchain, Machine Learning"
E-Saúde App,Aplicativo de busca e demanda espontânea de profissionais de saúde. Acesso imediato e agendado à profissionais de saúde nas redondezas ou de acordo com suas habilidades (especializações) específicas.,Saúde,
Photon Tic - Energy Solutions,"A Photon Tic - Energy Solutions, sediada em Santa Rita do Sapucaí – MG, cidade mundialmente conhecida como “Vale da Eletrônica”, constituída em 07/03/2012 e graduada na Incubadora de Empresas do Inatel - Nemp (Centro de Empreendedorismo do Inatel) em 30/11/2016, onde desenvolveu uma Solução de Gerenciamento e Gestão de Energia, para todos consumidores de energia e Indústria 4.0.
Nós prezamos pela qualidade e satisfação de nossos clientes, e por isso buscamos sempre pela melhoria contínua dos nossos processos para garantir a qualidade total dos nossos produtos. Essa melhoria envolve toda a organização com o intuito de buscar de forma constante pela análise de valor, eliminação de desperdícios, a padronização, a racionalização da força de trabalho, diminuição das incidências de falhas, entre outros hábitos importantes para uma gestão de qualidade.
Nossa Política: Pessoas, Padronização, Parceiros, Produtos e Performance.
Objetivos estratégicos e Resultados Chaves: Todas as nossas metas são acompanhadas por indicadores que devem garantir que estamos seguindo no caminho de nossos objetivos estratégicos: Desenvolver os colaboradores através de treinamento e desafios; aumentar a eficiência dos processos; gerar benefícios mútuos nas relações com clientes e fornecedores; lançar novos produtos e serviços; atender as expectativas e necessidades de nossos clientes; gerar resultados para suportar e perpetuar a sobrevivência da empresa.
Metas Estratégicas e de Desenvolvimento:
Além das conquistas com nossos clientes nacionais, iniciamos o reconhecimento no mercado externo, através de uma parceria com a empresa de energia, Zenergy, no Texas e com o Complexo Resort Valley Forge Casino na Philadelphia, ambas nos Estados Unidos, para soluções de energia, pressão e temperatura.
Aqui no Brasil, estamos fechando uma parceria com a Empresa Honeywell, também americana, onde nossa solução será utilizada em sua plataforma global de seus produtos. Apesar de uma grande gama de produtos fabricados por essa empresa, ficamos muito honrados em ouvir deles que não encontraram nenhuma solução melhor do que a da Photon Tic, onde eles procuraram na China, Índia, Itália, Israel e principalmente nos Estados Unidos.
Estamos participando do Programa do Parque Tecnológico de Itaipu, localizado em Foz do Iguaçu – Paraná, referência Nacional na Temática Cidades Inteligentes na temática de Gestão de Energia, para projeção exponencial na maior vitrine tecnológica em Smart Cities do Brasil, incentivando a competitividade do mercado e favorecendo o surgimento e desenvolvimento de novos negócios.
Estamos fechando, também, uma parceria com o SENAI/FIEMG, que trabalham para que a indústria mineira se torne cada vez mais competitiva, inovadora e sustentável, capaz de gerar novos negócios, riqueza e desenvolvimento. Esta parceria tem como objetivo proporcionar aos seus filiados (mais de 15 mil) uma solução de Gestão de Energia para que reduzam seus custos.
Junto ao Senai MG, a Photon Tic esta participando do Programa Smart Factory, com a aplicação em Indústrias 4.0, da nossa tecnologia de Gestão de Energia com objetivo de impacto na eficiência operacional dos processos produtivos das empresas.
Temos também, a expertise de desenvolvimento de outros sensores e soluções, conforme necessidades do cliente, em tempo reduzido.
Já está em nosso planejamento estratégico, para o próximo ano, as soluções de Gestão de Gás e Água.
Nosso maior desafio é acompanhar a revolução tecnológica que vivemos, trabalhamos e consumimos energia. A sociedade está encaminhando para o uso cada vez mais cotidiano nas novas tecnologias.
A economia de recursos com processos mais ágeis e aumento da produtividade são apenas algumas mudanças que estão sendo reservadas à indústria das próximas décadas. O universo de possibilidades da Internet das Coisas é dos mais amplos para a gestão de recursos no setor industrial.
É neste mercado que queremos, cada vez mais, estar inserido e sempre implantaremos melhorias constantes em nossa solução em Eficiência Energética.
Consideramos a inovação o melhor indicador de desempenho estratégico para tornarmos mais competitivos e sobreviver no mercado.
Para desenvolvermos um projeto de inovação eficaz, é fundamental sabermos como medir os resultados do projeto.
Utilizamos ferramentas que auxiliam os gestores a mensurar e acompanhar o desempenho das ações inovadoras e a capacidade de inovação da empresa, estabelecendo diretrizes a serem seguidas.
A intenção desses indicadores é verificar se os esforços de inovação estão gerando resultados positivos; caso não estejam, o gestor pode utilizar as informações para reavaliar sua metodologia e reverter a situação.
Indicadores: Redução de Custos, Investimento em P&D, Investimento Médio por Projeto, Retorno sobre Investimento, Quantidade de Ideias Geradas, Taxa de Ideias por Colaborador, Quantidade de Projetos em Andamento, Quantidade de Inovação e Taxa de Sucesso.","Agronegócio, Alimentos, Automóveis, Cidades inteligentes, Construção, Energia, Gestão de negócios, Gestão de riscos, Governo, Imóveis, Indústria 4.0, Logística, Mineração, Mobilidade, Saúde, Segurança, Sustentabilidade, Tecnologia da informação, Varejo, Vendas","Big Data, IOT (Internet das Coisas), Machine Learning"
Doctor Post,"A Doctor Post é uma startup que resolve o desafio da interoperabilidade na área da saúde. Imagine ter todo o seu histórico médico completo acessível no seu celular. Com o nosso aplicativo, você terá acesso a todo o seu histórico de saúde consolidado a partir de diferentes prontuários existentes. Isso significa que o paciente terá todas as informações importantes, como receitas, atestados, laudos de internação, resultados de exames, alergias e medicamentos, em um único lugar.

Além disso, nossa solução facilita a vida dos médicos, eliminando a necessidade de anotar manualmente todas essas informações. Nossa ideia já foi validada e estamos desenvolvendo as APIs para integração com softwares de gestão.

Temos como parceiros SPDATA e Ultrasis",Saúde,"Big Data, Deep Learning, Machine Learning"
SPOTSAT TECNOLOGIA E SERVIÇOS LTDA,"Somos uma empresa de Pesquisa e Desenvolvimento de tecnologias que se utilizam de dados e imagens de satélites. Nossos produtos são dedicados ao Agronegócio, meio ambiente e inteligência territorial.   ","Aeroespacial, Agronegócio, Cidades inteligentes, Governo, Mineração, Regulamentação e compliance, Sustentabilidade, Vendas","Blockchain, Machine Learning, IA"
