nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania
Data Sprints Processamento de Dados LTDA,"Criar uma solução que acelere os resultados de negócios, por meio de uma plataforma que une dados, inteligência artificial e análises preditivas em uma só fonte, de forma acessível e descomplicada. Como principais resultados, podemos citar a criação da plataforma e implementação nos primeiros clientes, o fomento do BDMG para projetos inovadores e a captação de investidores privados.",Startup,Tecnologia da informação,"Big Data, Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Dr. Lava Tudo,Plataforma de higienização de estofados e desinfecção de ambientes em domicílio e empresas. Ajudamos mais de 500.000 clientes a ter uma casa e empresa com mais higiene e bem-estar através da limpeza e desinfecção profissional.,Startup,Saúde,"Big Data, Deep Learning, Machine Learning",Consolidado no mercado (Startup é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes),Executores Diretos das Missões,,,,,,
EasyEat,"A EasyEat é uma startup que tem como objetivo transformar a vida e a saúde das pessoas. Para isso, vamos elaborar planos
alimentares (dietas) personalizadas para os usuários, segundo suas necessidades, preferencias alimentares, rotina. Somado a
isso, queremos indicar também produtos/alimentos saudáveis que possam melhor se adequar à dieta, bem como a indicação
dos locais mais próximos onde estes produtos/alimentos se encontram. O aplicativo terá um segmento de inteligência, capaz de
elaborar relatórios segmentados para acompanhamento do usuário e/ou dos profissionais envolvidos. Faremos também a
conexão com diversos profissionais da saúde. Isso tudo, sem sair de casa e na palma da mão! A EasyEat vai de encontro com o
que eu sempre defendi em meu consultório: de que a alimentação saudável é possível mesmo com a rotina mais atribulada que
as pessoas possam ter. Através da I.A do aplicativo, iremos alterar em tempo real a dieta dos usuários sempre que houver
alteração, sugerindo a eles as melhores opções alimentares. Além disso, vamos indicar alimentos saudáveis que estejam
condizentes com o orçamento de cada usuário! O objetivo maior é que a EASYEAT se torne referencia nacional em Healthtech,
principalmente para o público que quer melhorar a saúde e tem dificuldadesA solução foi validada a partir de questionários respondidos por mais de 800 pessoas, além de passar por todo o processo de
pré-aceleração dos programas COTEMIG Startups e Launch 6 do Raja Valley.",Startup,Saúde,Machine Learning,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Alugalogo,"Devido ao volume elevado de descarte irregular de resíduos de obra e de empresas em não conformidade com os regimentos legais, a locação de equipamentos para remoção de entulho exige empenho para localizar empresários responsáveis. Para simplificar esta busca e mitigar esse risco de dano ao meio ambiente, somos um marketplace que visa oferecer uma ferramenta ágil e segura para cotação e contratação de locadores de caçamba estacionárias.",Startup,Construção,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Sacratec,Objetivo sera melhor sistema de pagamento em criptografia atraves de pontos de venda integrados.,Startup,Tecnologia da informação,"Big Data, Blockchain, IOT (Internet das Coisas)",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Broto Bambu Ltda,"Disponibilizar bambus tratados com qualidade comprovada, rastreabilidade e ganhos sócio-econômicos para os envolvidos. Em maio de 2020 obteve aprovação no Centelha - MG, em junho de 2020 iniciou a incubação na Indetec/UFSJ, elaborou  e validou seu primeiro Produto Mínimo Viável na sequência e realizou sua venda pioneira em novembro de 2022.",Startup,"Educação, Negócios sociais, Sustentabilidade, Vendas",Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
iBanks Brasil,Fintech focada em novas tecnologias e blockchain,Startup,Finanças,"Big Data, Blockchain",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Brandt Meio Ambiente,"A BRANDT é uma empresa com experiência em programas, estudos e projetos na área ambiental, desenvolvidos no Brasil e em outros países. Desenvolvemos há 34 anos mais de 5.000 trabalhos com mais de 200 clientes. A Brandt possui domínio e grande habilidade na elaboração de documentos BankAble de meio ambiente, principalmente nos padrões do IFC (Internacional Finance Corporation) e WBG (World Bank Group/Banco Mundial) e nos “Princípios do Equador”, estabelecidos pelas principais instituições financeiras internacionais, incluindo projetos do Banco Mundial e BID. A BRANDT é referência nacional em sua área de atuação, embasada em constante inovação e desenvolvimento de tecnologia aplicada aos desafios demandados em seus trabalhos. Ao longo da sua história, o grupo empresarial implantou laboratórios de análises ambientais e, desde 1998, implantou uma unidade estruturada para tratamento de resíduos com foco na sua reutilização com geração de valor econômico. Além disso, o Grupo já possuiu empresa específica para pesquisa e desenvolvimento (Verti Ecotecnologias), sendo que em 2017 tal estrutura foi incorporada na atual Holding do grupo, a Ozônio Participações, controladora da Brandt Meio Ambiente. A Verti Ecotecnologias era uma empresa de base tecnológica, pesquisa e desenvolvimento de inovações tecnológicas na indústria, com foco na solução de problemas ambientais e na geração de novas oportunidades de negócios nessa área. Teve seu início na UFMG (2004), baseando-se em programas governamentais para inovações e desenvolvimento de tecnologias, sendo incorporada como empresa do Grupo em 2008. Utilizando pessoal altamente especializado, a Verti conduziu pesquisas, identificou estado da arte de processos tecnológicos ao redor do mundo, desenvolveu novas rotas tecnológicas, escalonou e implementou processos para solucionar problemas ambientais das indústrias e da sociedade. No total o grupo desenvolveu 19 (dezenove) patentes, somando-se patentes no âmbito da Verti/UFMG, Brandt Meio Ambiente ou coligadas, todas ligadas a aproveitamento de resíduos, tratamento de efluentes e saneamento. Além disso, foram desenvolvidos 6 (seis) softwares específicos para atuação na área ambiental. A BRANDT ainda desenvolveu vários projetos de P&D no contexto empresarial e acadêmico, podendo-se citar, dentre outros:
- Gestão do Projeto YARA, com desenvolvimento pela UFMG e recursos a fundo perdido do BNDES, para desenvolvimento de tecnologias inovadoras para tratamento de efluentes e saneamento;
- Gestão e desenvolvimento de Projeto para aproveitamento de resíduos de mineração e indústria para produção de fertilizantes e protetores agrícolas, com recursos do BDMG;
- Gestão e desenvolvimento de projeto para tratamento e reaproveitamento de resíduos da indústria de couro;
- Gestão e desenvolvimento de projeto para reaproveitamento de resíduos de borracha com transformação em combustível e negro de fumo através de pirólise em fluxo contínuo;
- Gestão e desenvolvimento de projeto para desenvolvimento de tecnologia para tratamento de resíduos eletrônicos visando aproveitamento de metais preciosos;
- Gestão e desenvolvimento de processo que produz hidrogênio para uso como combustível, a partir de resíduos de alumínio e resinas, de forma a gerar baterias de hidrogênio.
Para tais desenvolvimentos, a BRANDT e empresas coligadas contaram com recursos oficiais a fundo perdido ou não, e também com recursos privados, onde se destaca um período entre 2012 e 2016, quando o grupo empresarial teve a participação de grande empresa nacional (Promon Engenharia S.A.). Atualmente, pertencente a Grupo Empresarial nacional, a BRANDT se destaca em relação ao mercado ambiental no Brasil porque dispõe de uma equipe técnica multidisciplinar completa constituída por aproximadamente 111 funcionários CLT altamente especializados, constantemente treinados e estruturados na forma de um sistema “Disciplinas Core ou Hubs”.",Média e Grande Empresa,"Agronegócio, Alimentos e Bebidas, Energia ou Sucroalcooleiro, Mineração e Metalurgia",,,Executores Diretos das Missões,,,,,,
Reichle & De-Massari Comercio e Indústria Ltda,"Desenvolver e fornecer soluções de conectividade em fibra optica e cobre para as redes de telecomunicações, data centers e redes móveis. Desenvolvimento de redes opticas plug and play (pre-conectorizadas)",Média e Grande Empresa,Tecnologia da Informação e Comunicação (TIC),,,Executores Diretos das Missões,,,,,,
Bioneye - Exames de laboratório em minutos,"Nós entregamos exames de laboratório em minutos através de um equipamento de baixo custo automatizado que trabalha com inteligência artificial e visão computacional, pode realizar diversos tipos de exames usando apenas uma pequena amostra de material. O mesmo equipamento pode fazer exames de sangue, fezes, urina além de análise de tecidos.",Startup,Saúde,"Deep Learning, Machine Learning, Visão Computacional","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Addhere,"A ADDHERE é composta por uma equipe multidisciplinar contendo médicos, PhDs, engenheiros, desenvolvedores, digital influencers, executivos, com objetivo de aprimorar o diagnóstico do Déficit de Atenção, com ou sem Hiperatividade, por meio de novas tecnologias (utiliza Inteligência Artificial e Blockchain para suporte ao diagnóstico de TDAH).",Startup,Saúde,"Blockchain, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,,,,,,
Canguru Gravidez,"Um app completo para uma
gravidez tranquila.Um guia completo para a gravidez. Saiba tudo sobre consultas, exames e procedimentos do pré-natal. Identifique riscos precocemente.",Startup,Saúde,,3. Tração,Executores Diretos das Missões,,,,,,
DDMX,Tecnologia em análise de dados,Startup,"Energia, Gestão de negócios, Indústria 4.0, Logística, Tecnologia da informação","Big Data, IOT (Internet das Coisas)",Consolidado no mercado (Startup é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes),Executores Diretos das Missões,,,,,,
Aeogi,A Aeogi está construindo o futuro dos serviços financeiros corporativos. Ajudamos startups de todos tamanhos a conseguirem um cartão de crédito com limites altos para tocarem seus negócios.,Startup,Finanças,,1. Ideação,Executores Diretos das Missões,,,,,,
Licitei - “HAXN EMPREENDIMENTOS LTDA”.,"Agência desenvolvimento e licenciamento de programas de computador não-
customizáveis e de programas de computador sob encomenda.",Startup,Governo,"Big Data, IOT (Internet das Coisas), Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
ifree,Estoque de demandas,Startup,"Alimentos, Governo, Pets, Saúde, Sustentabilidade",Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,,,,,,
Labor Rural,Soluções Gerenciais para o campo.,Empresa de Base Tecnológica (EBT),Agronegócio,,,Executores Diretos das Missões,,,,,,
Engenharia do Cuidado,"A Engenharia do Cuidado (EC) é uma startup, sediada em Montes Claros/MG, que se dedica a promover jornadas de sucesso na transformação digital de empresas prestadoras ou gestoras de serviços de saúde para o melhor cuidado das pessoas e resultados dos nossos clientes.",Startup,Saúde,IOT (Internet das Coisas),"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,,,,,,
