Nome da Organização,M1,M2,M3,M4,M5,M6
Eletrobio,Não Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Não Alinha
Neo Things IoT,Alinha,Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
Intelicoffee Cafeteiras Inteligentes,Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Não Alinha
AgroNeural,Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
AMANTYKIR TECNOLOGIA,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
300 Inteligência,Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Não Alinha
E-Saúde App,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Photon Tic - Energy Solutions,Alinha,Alinha,Alinha,Alinha,Alinha,Não Alinha
Doctor Post,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
SPOTSAT TECNOLOGIA E SERVIÇOS LTDA,Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Alinha
Nimble Sabores Inteligentes e Comércio Ltda,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Conecta Saúde,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Satis Indústria e Comércio Ltda,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
FUNDACAO EDUCACIONAL LUCAS MACHADO FELUMA,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
IDelta 4.0 LTDA,Alinha,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha
FóIE Energia Solar,Não Alinha,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha
Vitali Life,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
3778,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
AgriVerti,Alinha,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha
Pandô APPs,Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Não Alinha
Econvenios,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Update Analytics,Alinha,Não Alinha,Alinha,Alinha,Alinha,Não Alinha
Fisio Go,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Biomm,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
TROPICAL INDUSTRIA DE ALIMENTOS SA.,Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Não Alinha
TOGOV NEGOCIOS CONSULTORIA DESENVOLVIMENTO E TECNOLOGIA LTDA,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
AmplyCode,Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
Deixa ela treinar,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha
BR QUALITY LABORATORIO E CONSULTARIA LTDA,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Destilaria Lassaleti,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha
Cientec Ambiental,Alinha,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha
RGA MG - Equipamentos e Projetos Especiais,Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Não Alinha
HiDoctor,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
UmiTerm,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Revex,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Fungal ID LTDA,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
AIMIRIM,Alinha,Não Alinha,Não Alinha,Alinha,Alinha,Não Alinha
Nooa Ciência e Tecnologia Agrícola LTDA,Alinha,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha
JASMMIN,Não Alinha,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha
AGROPECUARIA SERTÃO LTDA,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Embtech Tecnologia Embarcada,Alinha,Alinha,Alinha,Alinha,Alinha,Alinha
LOTUS SOLUÇÕES AMBIENTAIS LTDA,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha
Amplos,Não Alinha,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
Grato Consulting and Education Ltda,Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha,Não Alinha
ENCORE - Gestão de Dados em Saúde,Não Alinha,Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
PlugThink Técnologia da Informação ltda.,Não Alinha,Não Alinha,Não Alinha,Alinha,Não Alinha,Não Alinha
