nome_organizacao,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,descricao_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio
Data Sprints Processamento de Dados LTDA,0,0,0,1,0,0,"Criar uma solução que acelere os resultados de negócios, por meio de uma plataforma que une dados, inteligência artificial e análises preditivas em uma só fonte, de forma acessível e descomplicada. Como principais resultados, podemos citar a criação da plataforma e implementação nos primeiros clientes, o fomento do BDMG para projetos inovadores e a captação de investidores privados.",Tecnologia da informação,"Big Data, Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
Dr. Lava Tudo,0,1,0,0,0,0,Plataforma de higienização de estofados e desinfecção de ambientes em domicílio e empresas. Ajudamos mais de 500.000 clientes a ter uma casa e empresa com mais higiene e bem-estar através da limpeza e desinfecção profissional.,Saúde,"Big Data, Deep Learning, Machine Learning",Consolidado no mercado (Startup é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes)
EasyEat,0,1,0,0,0,0,"A EasyEat é uma startup que tem como objetivo transformar a vida e a saúde das pessoas. Para isso, vamos elaborar planos
alimentares (dietas) personalizadas para os usuários, segundo suas necessidades, preferencias alimentares, rotina. Somado a
isso, queremos indicar também produtos/alimentos saudáveis que possam melhor se adequar à dieta, bem como a indicação
dos locais mais próximos onde estes produtos/alimentos se encontram. O aplicativo terá um segmento de inteligência, capaz de
elaborar relatórios segmentados para acompanhamento do usuário e/ou dos profissionais envolvidos. Faremos também a
conexão com diversos profissionais da saúde. Isso tudo, sem sair de casa e na palma da mão! A EasyEat vai de encontro com o
que eu sempre defendi em meu consultório: de que a alimentação saudável é possível mesmo com a rotina mais atribulada que
as pessoas possam ter. Através da I.A do aplicativo, iremos alterar em tempo real a dieta dos usuários sempre que houver
alteração, sugerindo a eles as melhores opções alimentares. Além disso, vamos indicar alimentos saudáveis que estejam
condizentes com o orçamento de cada usuário! O objetivo maior é que a EASYEAT se torne referencia nacional em Healthtech,
principalmente para o público que quer melhorar a saúde e tem dificuldadesA solução foi validada a partir de questionários respondidos por mais de 800 pessoas, além de passar por todo o processo de
pré-aceleração dos programas COTEMIG Startups e Launch 6 do Raja Valley.",Saúde,Machine Learning,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
Alugalogo,0,0,1,0,0,0,"Devido ao volume elevado de descarte irregular de resíduos de obra e de empresas em não conformidade com os regimentos legais, a locação de equipamentos para remoção de entulho exige empenho para localizar empresários responsáveis. Para simplificar esta busca e mitigar esse risco de dano ao meio ambiente, somos um marketplace que visa oferecer uma ferramenta ágil e segura para cotação e contratação de locadores de caçamba estacionárias.",Construção,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
Sacratec,0,0,0,1,0,0,Objetivo sera melhor sistema de pagamento em criptografia atraves de pontos de venda integrados.,Tecnologia da informação,"Big Data, Blockchain, IOT (Internet das Coisas)",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
Broto Bambu Ltda,0,0,0,0,1,0,"Disponibilizar bambus tratados com qualidade comprovada, rastreabilidade e ganhos sócio-econômicos para os envolvidos. Em maio de 2020 obteve aprovação no Centelha - MG, em junho de 2020 iniciou a incubação na Indetec/UFSJ, elaborou  e validou seu primeiro Produto Mínimo Viável na sequência e realizou sua venda pioneira em novembro de 2022.","Educação, Negócios sociais, Sustentabilidade, Vendas",Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
iBanks Brasil,0,0,0,1,0,0,Fintech focada em novas tecnologias e blockchain,Finanças,"Big Data, Blockchain",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
Brandt Meio Ambiente,1,0,0,0,1,0,"A BRANDT é uma empresa com experiência em programas, estudos e projetos na área ambiental, desenvolvidos no Brasil e em outros países. Desenvolvemos há 34 anos mais de 5.000 trabalhos com mais de 200 clientes. A Brandt possui domínio e grande habilidade na elaboração de documentos BankAble de meio ambiente, principalmente nos padrões do IFC (Internacional Finance Corporation) e WBG (World Bank Group/Banco Mundial) e nos “Princípios do Equador”, estabelecidos pelas principais instituições financeiras internacionais, incluindo projetos do Banco Mundial e BID. A BRANDT é referência nacional em sua área de atuação, embasada em constante inovação e desenvolvimento de tecnologia aplicada aos desafios demandados em seus trabalhos. Ao longo da sua história, o grupo empresarial implantou laboratórios de análises ambientais e, desde 1998, implantou uma unidade estruturada para tratamento de resíduos com foco na sua reutilização com geração de valor econômico. Além disso, o Grupo já possuiu empresa específica para pesquisa e desenvolvimento (Verti Ecotecnologias), sendo que em 2017 tal estrutura foi incorporada na atual Holding do grupo, a Ozônio Participações, controladora da Brandt Meio Ambiente. A Verti Ecotecnologias era uma empresa de base tecnológica, pesquisa e desenvolvimento de inovações tecnológicas na indústria, com foco na solução de problemas ambientais e na geração de novas oportunidades de negócios nessa área. Teve seu início na UFMG (2004), baseando-se em programas governamentais para inovações e desenvolvimento de tecnologias, sendo incorporada como empresa do Grupo em 2008. Utilizando pessoal altamente especializado, a Verti conduziu pesquisas, identificou estado da arte de processos tecnológicos ao redor do mundo, desenvolveu novas rotas tecnológicas, escalonou e implementou processos para solucionar problemas ambientais das indústrias e da sociedade. No total o grupo desenvolveu 19 (dezenove) patentes, somando-se patentes no âmbito da Verti/UFMG, Brandt Meio Ambiente ou coligadas, todas ligadas a aproveitamento de resíduos, tratamento de efluentes e saneamento. Além disso, foram desenvolvidos 6 (seis) softwares específicos para atuação na área ambiental. A BRANDT ainda desenvolveu vários projetos de P&D no contexto empresarial e acadêmico, podendo-se citar, dentre outros:
- Gestão do Projeto YARA, com desenvolvimento pela UFMG e recursos a fundo perdido do BNDES, para desenvolvimento de tecnologias inovadoras para tratamento de efluentes e saneamento;
- Gestão e desenvolvimento de Projeto para aproveitamento de resíduos de mineração e indústria para produção de fertilizantes e protetores agrícolas, com recursos do BDMG;
- Gestão e desenvolvimento de projeto para tratamento e reaproveitamento de resíduos da indústria de couro;
- Gestão e desenvolvimento de projeto para reaproveitamento de resíduos de borracha com transformação em combustível e negro de fumo através de pirólise em fluxo contínuo;
- Gestão e desenvolvimento de projeto para desenvolvimento de tecnologia para tratamento de resíduos eletrônicos visando aproveitamento de metais preciosos;
- Gestão e desenvolvimento de processo que produz hidrogênio para uso como combustível, a partir de resíduos de alumínio e resinas, de forma a gerar baterias de hidrogênio.
Para tais desenvolvimentos, a BRANDT e empresas coligadas contaram com recursos oficiais a fundo perdido ou não, e também com recursos privados, onde se destaca um período entre 2012 e 2016, quando o grupo empresarial teve a participação de grande empresa nacional (Promon Engenharia S.A.). Atualmente, pertencente a Grupo Empresarial nacional, a BRANDT se destaca em relação ao mercado ambiental no Brasil porque dispõe de uma equipe técnica multidisciplinar completa constituída por aproximadamente 111 funcionários CLT altamente especializados, constantemente treinados e estruturados na forma de um sistema “Disciplinas Core ou Hubs”.","Agronegócio, Alimentos e Bebidas, Energia ou Sucroalcooleiro, Mineração e Metalurgia",,
Reichle & De-Massari Comercio e Indústria Ltda,0,0,0,1,0,0,"Desenvolver e fornecer soluções de conectividade em fibra optica e cobre para as redes de telecomunicações, data centers e redes móveis. Desenvolvimento de redes opticas plug and play (pre-conectorizadas)",Tecnologia da Informação e Comunicação (TIC),,
Bioneye - Exames de laboratório em minutos,0,1,0,1,0,0,"Nós entregamos exames de laboratório em minutos através de um equipamento de baixo custo automatizado que trabalha com inteligência artificial e visão computacional, pode realizar diversos tipos de exames usando apenas uma pequena amostra de material. O mesmo equipamento pode fazer exames de sangue, fezes, urina além de análise de tecidos.",Saúde,"Deep Learning, Machine Learning, Visão Computacional","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
