Organização,Missões da Nova Indústria Brasil
Data Sprints Processamento de Dados LTDA,Missão 4: Transformação digital da indústria.
Dr. Lava Tudo,Missão 2: Complexo econômico e industrial da saúde resiliente (pelo foco em higiene e bem-estar).
EasyEat,Missão 2: Complexo econômico e industrial da saúde resiliente.
Alugalogo,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis (pela gestão de resíduos da construção)."
Sacratec,Missão 4: Transformação digital da indústria.
Broto Bambu Ltda,"Missão 5: Bioeconomia, descarbonização e transição energética (pelo uso de material sustentável)."
iBanks Brasil,Missão 4: Transformação digital da indústria.
Brandt Meio Ambiente,"Missão 5: Bioeconomia, descarbonização e transição energética. Missão 1: Cadeias agroindustriais sustentáveis."
Reichle & De-Massari Comercio e Indústria Ltda,Missão 4: Transformação digital da indústria.
Bioneye - Exames de laboratório em minutos,Missão 2: Complexo econômico e industrial da saúde resiliente. Missão 4: Transformação digital da indústria.
Addhere,Missão 2: Complexo econômico e industrial da saúde resiliente. Missão 4: Transformação digital da indústria.
Canguru Gravidez,Missão 2: Complexo econômico e industrial da saúde resiliente.
DDMX,"Missão 4: Transformação digital da indústria. Missão 5: Bioeconomia, descarbonização e transição energética."
Aeogi,Missão 4: Transformação digital da indústria.
Licitei - “HAXN EMPREENDIMENTOS LTDA”.,Missão 4: Transformação digital da indústria.
ifree,Missão 1: Cadeias agroindustriais sustentáveis. Missão 2: Complexo da saúde. Missão 5: Bioeconomia.
Labor Rural,Missão 1: Cadeias agroindustriais sustentáveis e digitais.
Engenharia do Cuidado,Missão 2: Complexo econômico e industrial da saúde resiliente. Missão 4: Transformação digital da indústria.
4intelligence,Missão 1: Cadeias agroindustriais sustentáveis. Missão 3: Infraestrutura e cidades. Missão 4: Transformação digital.
JFOX IT PARTNERS,Missão 4: Transformação digital da indústria.
Jurídico Já Jurídico Já Tecnologia e Serviços de INternet,Missão 4: Transformação digital da indústria.
Soil Domains,Missão 1: Cadeias agroindustriais sustentáveis e digitais. Missão 5: Bioeconomia.
OUVIDOR DIGITAL SERVIÇOS DE INFORMÁTICA LTDA,Missão 4: Transformação digital da indústria.
Saga Medicao S/A,"Missão 3: Infraestrutura, saneamento, moradia e mobilidade sustentáveis."
INFO EVOLUTION ME,Missão 4: Transformação digital da indústria.
guardSI Cybersecurity,Missão 4: Transformação digital da indústria. Missão 6: Tecnologias para soberania e defesa.
AGENDA CONSULTA,Missão 2: Complexo econômico e industrial da saúde resiliente.
Business4U,Missão 4: Transformação digital da indústria.
Detechta Biotecnologia S.A.,Missão 2: Complexo econômico e industrial da saúde resiliente.
GTI PLUG,Missão 4: Transformação digital da indústria.
Siteware Soluções S/A,Missão 4: Transformação digital da indústria.
JOAO SCUDELER NETO (Nome Fantasia: Eleni Comércio e Serviço LTDA.),Missão 4: Transformação digital. Missão 5: Bioeconomia e transição energética.
iPlanus,"Missão 1, 3 e 4: Cadeias agroindustriais, Infraestrutura e Transformação digital."
Magistech Sistemas Ltda,Missão 1: Cadeias agroindustriais sustentáveis e digitais (ERP para laticínios). Missão 4: Transformação digital.
Pocket Clinic,Missão 2: Complexo econômico e industrial da saúde resiliente.
Neurobrinq,Missão 2: Complexo econômico e industrial da saúde resiliente.
ConectaDent,Missão 2: Complexo econômico e industrial da saúde resiliente.
MERCADOS ARTESANAIS CRAFT MARKET,Missão 4: Transformação digital da indústria.
