nome_organizacao,descricao_organizacao,categoria_organizacao,fase_investimento_busca_x,incentivos_fiscais_municipio_x,orgao_responsavel_cti_x,tipo_organizacao_x,contato_divulgacao_cientifica_x,possui_nit_x,areas_expertise_x,tese_investimento_x,num_startups_investidas_x,segmento_atuacao,programas_desenvolvimento_x,tecnologias_disruptivas,segmentacao_clientes_x,fase_negocio,fase_investimento_captada_x,preferencia_segmento_x,beneficios_programa_x,investimento_medio_startup_x,exige_equity_x,papel_no_ecossistema,cadastro_aprovado,autorizacao_divulgacao,cidade_sede,uf_sede,logo_url,site_organizacao,email_contato,fase_investimento_busca_y,incentivos_fiscais_municipio_y,orgao_responsavel_cti_y,tipo_organizacao_y,contato_divulgacao_cientifica_y,possui_nit_y,areas_expertise_y,tese_investimento_y,num_startups_investidas_y,programas_desenvolvimento_y,modelo_negocio,segmentacao_clientes_y,numero_funcionarios,fase_investimento_captada_y,busca_investimento,linkedin_url,preferencia_segmento_y,beneficios_programa_y,investimento_medio_startup_y,exige_equity_y
ASSOSSIAÇÃO P7 CRIATIVO,"Uma comunidade em que empresas e pessoas da Criatividade, inovação e tecnologia podem fazer conexões, empreender, colaborar entre si e desenvolver negócios relevantes.",ICT | IES | Centro de P&D,,,,ICT - Ambiente Promotor de Inovação,,Sim,"Por ser Hub de Economia Crativa, envolve várias áreas do conhecimento",,,"Empreendedorismo, Pesquisa e desenvolvimento",Desenvolvimento do RADAR (https://simi.mg.gov.br/p7-criativo-lanca-estudo-sobre-economia-criativa-em-minas-gerais/),,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/HLwFJLPG/P7000123-D-Avatares-Redes-02.png,https://p7criativo.com.br/,contato@p7criativo.com.br, , , ,ICT - Ambiente Promotor de Inovação, ,Sim,"Por ser Hub de Economia Crativa, envolve várias áreas do conhecimento", , ,Desenvolvimento do RADAR (https://simi.mg.gov.br/p7-criativo-lanca-estudo-sobre-economia-criativa-em-minas-gerais/),,,,,Não,,,,, 
URBI ARQUITETURA E ENGENHARIA,"URBI Arquitetura e Engenharia Ltda, inscrita no CNPJ sob o nº 34.749.716/0001-
08, é reconhecida por sua inovação no desenvolvimento urbano. A empresa visa
integrar intuição e essência urbana para promover a evolução das cidades, com
foco na preservação histórica e na utilização de materiais e técnicas avançadas.
Além disso, a URBI está comprometida com a sustentabilidade, utilizando
rejeitos industriais na elaboração de novos materiais e pesquisando minerais
comuns e raros para aplicações inovadoras. Entre seus parceiros estão nomes
renomados como Gerdau, LGA, a Prefeitura de Ouro Preto e MRS, fortalecendo
ainda mais seu compromisso com o desenvolvimento sustentável e a inovação
no cenário urbano.",ICT | IES | Centro de P&D,,,,Centro de P&D,31993163444,Não,"A organização possui expertise em diversas áreas-chave que contribuem para seu desempenho interdisciplinar e inovador. Essas áreas incluem processos, onde se busca aprimorar a eficiência e sustentabilidade; engenharia, abrangendo diversos ramos como civil, mecânica e ambiental para a execução e concepção de projetos; caracterização, fundamental para o desenvolvimento e aprimoramento de materiais; urbanismo, com foco no planejamento sustentável de espaços urbanos; arquitetura, combinando estética, funcionalidade e sustentabilidade em design; gestão, para uma administração eficaz de projetos, pessoas e recursos; e otimização, aplicada para melhorar a eficiência de processos e sistemas. Juntas, estas áreas permitem à organização enfrentar desafios contemporâneos com soluções eficientes e integradas.",,,"Apoio e fomento, Empreendedorismo, Financiamento e investimento, Pesquisa e desenvolvimento","Caracterização de rejeitos industriais variáveis para pesquisa e utilização em novos materiais, mitigando o problema ambiental do descarte desses resíduos e gerando coprodutos de valor agregado.",,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Ouro Branco,MG,https://i.postimg.cc/R0BP4N8d/logotipo-compleo.jpg,https://www.urbise.com.br/,contato@somosurbi.com.br, , , ,Centro de P&D,31993163444,Não,"A organização possui expertise em diversas áreas-chave que contribuem para seu desempenho interdisciplinar e inovador. Essas áreas incluem processos, onde se busca aprimorar a eficiência e sustentabilidade; engenharia, abrangendo diversos ramos como civil, mecânica e ambiental para a execução e concepção de projetos; caracterização, fundamental para o desenvolvimento e aprimoramento de materiais; urbanismo, com foco no planejamento sustentável de espaços urbanos; arquitetura, combinando estética, funcionalidade e sustentabilidade em design; gestão, para uma administração eficaz de projetos, pessoas e recursos; e otimização, aplicada para melhorar a eficiência de processos e sistemas. Juntas, estas áreas permitem à organização enfrentar desafios contemporâneos com soluções eficientes e integradas.", , ,"Caracterização de rejeitos industriais variáveis para pesquisa e utilização em novos materiais, mitigando o problema ambiental do descarte desses resíduos e gerando coprodutos de valor agregado.",,,,,Não,,,,, 
Instituto Presbiteriano Gammon,"  A Faculdade Presbiteriana Gammon - FAGAMMON é uma entidade particular de ensino superior mantida pelo Instituto Presbiteriano Gammon, que atua como agente formador de profissionais capacitados, desenvolvendo seu pensamento crítico, teórico, prático, cultural e científico.     

 

Situada em Lavras, sul de Minas Gerais, a FAGAMMON atua com localização e infraestrutura privilegiada. Na abrangência de nossos campus contamos com amplas salas de aula equipadas e possuímos auditórios, bibliotecas, laboratórios de informática, anatomia e avaliação física, além de ginásios, quadras poliesportivas, academia e um amplo espaço arborizado que confere à Instituição um ambiente agradável e estimulante.     

 

A FAGAMMON preza pela formação de seus alunos muito além da sala de aula: a preocupação vai desde a postura ética até seu desempenho diante do mercado e sua capacidade de adaptação.

 ",ICT | IES | Centro de P&D,,,,Instituição de Ensino Superior,RODRIGO MARCAL GANDIA - rodrigo.gandia@fagammon.edu.br; CRISTHIANE XAVIER FIGUEIREDO - cristhiane.figueiredo@fagammon.edu.br; ELAYNE PENHA VEIGA elayne.veiga@fagammon.edu.br,Não,"Saúde, Gestão e Tecnologia da Informação.",,,Ensino superior,"PROGRAMA DE EMPREENDEDORISMO UNIVERSITÁRIO (HUB DE INOVAÇÃO DE VIVÊNCIA EMPREEDEDORA - HIVE); EMPRESA JÚNIOR, FAGIRLSTEC - GRUPO DE INCENTIVO A ATUAÇÃO DE MULHERES NA ÁREA DA TECNOLOGIA,

HIVE - A Fagammon, em suas diretrizes para fomentar a inovação e empreendedorismo, propôs a promoção de uma cultura de inovação e empreendedorismo no ambiente acadêmico, transbordando para o ecossistema local, por meio de ensino e pesquisa, capacitação e vivência e conscientização de atores e comunidades locais. Dessa forma, surgiu o HIVE, o Hub de Inovação e Vivências Empreendedoras, com o objetivo de estimular um pensamento de inovação e empreendedorismo à comunidade acadêmica e atores locais, colocando os discentes como agentes transformadores do ecossistema local.


EMPRESA JÚNIOR - Aproximar o mercado de trabalho do ambiente acadêmico; Desenvolver projetos de consultoria na área da graduação; Oferecer a oportunidade para os estudantes de gerir uma organização com autonomia.

FAGIRLSTEC -  O FAGILS tem como objetivo incentivar a participação de mulheres nas áreas de tecnologia da informação e empreendedorismo ,promovendo a inclusão e desancando a participação da mulher no setor da tecnologia.
",,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Lavras,MG,https://i.postimg.cc/wBJr617V/Logo-Fagammon-PNG.png,https://www.fagammon.edu.br/,michelle.barreto@fagammon.edu.br, , , ,Instituição de Ensino Superior,RODRIGO MARCAL GANDIA - rodrigo.gandia@fagammon.edu.br; CRISTHIANE XAVIER FIGUEIREDO - cristhiane.figueiredo@fagammon.edu.br; ELAYNE PENHA VEIGA elayne.veiga@fagammon.edu.br,Não,"Saúde, Gestão e Tecnologia da Informação.", , ,"PROGRAMA DE EMPREENDEDORISMO UNIVERSITÁRIO (HUB DE INOVAÇÃO DE VIVÊNCIA EMPREEDEDORA - HIVE); EMPRESA JÚNIOR, FAGIRLSTEC - GRUPO DE INCENTIVO A ATUAÇÃO DE MULHERES NA ÁREA DA TECNOLOGIA,

HIVE - A Fagammon, em suas diretrizes para fomentar a inovação e empreendedorismo, propôs a promoção de uma cultura de inovação e empreendedorismo no ambiente acadêmico, transbordando para o ecossistema local, por meio de ensino e pesquisa, capacitação e vivência e conscientização de atores e comunidades locais. Dessa forma, surgiu o HIVE, o Hub de Inovação e Vivências Empreendedoras, com o objetivo de estimular um pensamento de inovação e empreendedorismo à comunidade acadêmica e atores locais, colocando os discentes como agentes transformadores do ecossistema local.


EMPRESA JÚNIOR - Aproximar o mercado de trabalho do ambiente acadêmico; Desenvolver projetos de consultoria na área da graduação; Oferecer a oportunidade para os estudantes de gerir uma organização com autonomia.

FAGIRLSTEC -  O FAGILS tem como objetivo incentivar a participação de mulheres nas áreas de tecnologia da informação e empreendedorismo ,promovendo a inclusão e desancando a participação da mulher no setor da tecnologia.
",,,,,Não,,,,, 
Agência de Inovação de Leite e Derivados,Somos uma agência de inovação em busca de inovação para o mercado de lácteos. Somos executores do Sistema InovaLácteos.,ICT | IES | Centro de P&D,,,,ICTMG,,Não,Leite e Derivados,,,"Empreendedorismo, Pesquisa e desenvolvimento",Sistema InovaLácteos: pré-aceleração e incubação de startups,,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Juiz de Fora,MG,https://i.postimg.cc/XNmtf8yY/LOGO-AGENCIA-POLO-DO-LEITE.png,https://www.polodoleite.com.br/,agencia@polodoleite.com.br, , , ,ICTMG, ,Não,Leite e Derivados, , ,Sistema InovaLácteos: pré-aceleração e incubação de startups,,,,,Não,,,,, 
CEFET-MG,"É um centro federal de educação tecnológica, com ensico desde nível médio/técnico até pós-graduação, vinculada ao Ministério da Educação, contemplando também, de forma indissociada, o ensino, a pesquisa e a extensão, na área tecnológica e no âmbito da pesquisa aplicada.",ICT | IES | Centro de P&D,,,,Instituição de Ensino Superior,Sônia Miranda de Oliveira - somioli@cefetmg.br,Sim,Engenharias,,,"Ensino superior, Ensino técnico/profissionalizante, Extensão",Programas de extensão,,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/qR7LFTGJ/Logo-Cefet.jpg,https://www.cefetmg.br/,emarchettisilva@gmail.com, , , ,Instituição de Ensino Superior,Sônia Miranda de Oliveira - somioli@cefetmg.br,Sim,Engenharias, , ,Programas de extensão,,,,,Não,,,,, 
Cotemig,Instituição Educacional na área de Tecnologia,ICT | IES | Centro de P&D,,,,Instituição de Ensino Superior,Emerson Luiz de Castro,Não,"Tecnologia - Análise e Desenvolvimento de Sistemas, Sistema de Informação e Ciência da Computação.",,,"Ensino superior, Ensino técnico/profissionalizante","Programa de Inovação Tecnológica, que é o trabalho de conclusão de cursos dos alunos da faculdade.",,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/CxzTjYkB/COTEMIG-Faculdade.png,https://www.cotemig.com.br,emersonluiz@cotemig.com.br, , , ,Instituição de Ensino Superior,Emerson Luiz de Castro,Não,"Tecnologia - Análise e Desenvolvimento de Sistemas, Sistema de Informação e Ciência da Computação.", , ,"Programa de Inovação Tecnológica, que é o trabalho de conclusão de cursos dos alunos da faculdade.",,,,,Não,,,,, 
Cotemig,Instituição Educacional na área de Tecnologia,ICT | IES | Centro de P&D,,,,Instituição de Ensino Superior,Emerson Luiz de Castro,Não,"Tecnologia - Análise e Desenvolvimento de Sistemas, Sistema de Informação e Ciência da Computação.",,,"Ensino superior, Ensino técnico/profissionalizante","Programa de Inovação Tecnológica, que é o trabalho de conclusão de cursos dos alunos da faculdade.",,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/Y93YcMNt/COL-GIO-E-FACULDADE-PANTONE-361-C.jpg,https://www.cotemig.com.br/,ilva@cotemig.com.br, , , ,Instituição de Ensino Superior, ,Não,Ensino tecnológico e disseminação da cultura empreendedora., , ,O Cotemig Startups é um programa de pré-aceleração de startups que tem o objetivo de transformar ideias inovadoras em negócios. O programa é uma realização do Grupo COTEMIG.,,,,,Não,,,,, 
"Instituto Digital de Ciência, Tecnologia e Inovação - MyLegacy Tech HUB","No cenário em constante transformação dos negócios, há uma frase que nos define com clareza: Somos Digitais.
Essa simples declaração orienta a nossa  jornada de inovação, adaptação e resultados. Juntos, enfrentamos o desconhecido com coragem e abraçamos a responsabilidade de liderar a revolução digital com ética e inclusão.
Simplificamos a jornada de transformação digital, abrimos as portas para a inteligência artificial e preparamos as empresas para a convergência digital.
Realizamos junto as empresas projetos de PD&I onde a complexidade é eliminada, onde a tecnologia se torna uma aliada e as corporações navegam nas águas da transformação digital com facilidade e confiança.",ICT | IES | Centro de P&D,,,,Centro de P&D,juliana@ictmylegacy.org,Sim,"TransFormação Digital, Inteligência Artificial, Aplicações Low-code e No-code, Integração e Automação tecnológicas, Machine Learning e Blockchain",,,"Empreendedorismo, Extensão, Pesquisa e desenvolvimento","Programa SIMPLIFICADO de Transformação Digital nas Empresas - 
Make It Simple.",,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Extrema,MG,https://i.postimg.cc/9fXCpVn5/logo-My-Legacy.png,https://ictmylegacy.org/,jrdias@ictmylegacy.org, , , ,Centro de P&D,juliana@ictmylegacy.org,Sim,"TransFormação Digital, Inteligência Artificial, Aplicações Low-code e No-code, Integração e Automação tecnológicas, Machine Learning e Blockchain", , ,"Programa SIMPLIFICADO de Transformação Digital nas Empresas - 
Make It Simple.",,,,,Não,,,,, 
Faculdade de Ciências Sociais Aplicadas do Sul de Minas - FACESM,"A FACESM – Escola de Negócios, mantida pelo CENTRO REGIONAL DE CULTURA – CEREC, produz  ideias que moldam a prática da gestão em organizações de todos os segmentos e portes.
A história da FACESM é conhecida como um legado de energia e inovação.

Atualmente a FACESM oferece 4 cursos de graduação: Administração, Ciências Contábeis, Ciências Econômicas e Direito. 
Além de seus cursos de graduação, a Escola tem desenvolvido um amplo trabalho de oferecer cursos de Pós-graduação, Extensão e realizar Pesquisas Científicas, por intermédio do INPPEX – Instituto de Pós-graduação, Pesquisa e Extensão.

A FACESM conta com infraestrutura de 40.000 m² de área, biblioteca digital e também um extenso acervo físico, auditório moderno e equipado, laboratórios e salas de aulas equipadas e amplas, além de amplo espaço poliesportivo e área verde.

A FACESM se esforça todos os dias para que seus alunos tenham estrutura intelectual para redefinir a natureza da gestão e reescrever o futuro dos negócios.
Uma das grandes preocupações da instituição é oferecer aos seus alunos, muito mais que conteúdo didático – A FACESM busca oferecer um modelo de gestão baseado na ética, na responsabilidade e no respeito com as empresas e com a sociedade.",ICT | IES | Centro de P&D,,,,Instituição de Ensino Superior,,Não,Administração - Contabilidade - Economia - Direito,,,"Empreendedorismo, Ensino superior, Extensão, Pesquisa e desenvolvimento","
	a) Pré-incubação de empresas: programa que oportuniza e viabiliza a geração de demandas de novos negócios, direcionando os alunos para a autonomia e a novas possibilidades de um futuro promissor, através de sua própria capacidade empreendedora, construindo seu próprio futuro. Dentro da política de extensão, a FACESM está possibilitando aos alunos do ensino médio da cidade de Itajubá, a inclusão no ambiente do empreendedorismo através de sua pré-incubadora de empresas. Este programa que tem parceria com a Superintendência Regional de Ensino de Itajubá amplia os benefícios desta estrutura, abrindo novas perspectivas aos jovens das escolas públicas que necessitam da inserção no mercado de trabalho para continuar custeando seus estudos, ao mesmo tempo que auxilia a formação do perfil de seus futuros ingressantes. 

	b) Feira de Empreendedorismo da FACESM: é um evento que congrega várias iniciativas que auxiliam o desenvolvimento da cultura empreendedora na cidade de Itajubá e região. Este evento que se transformou em uma tradição no calendário da cidade de Itajubá, está cada vez mais agregando universitários, familiares, empresários e instituições públicas e privadas que interessam pelo desenvolvimento da região. Um espaço que se destina a exposição de projetos em fase de pré-incubação, instituições que fomentam a cultura empreendedora, projetos desenvolvidos na pré-incubadora de projetos sociais, trabalhos na área de empreendedorismo, projetos de inclusão da pedagogia empreendedora no ensino público, consultas tecnológicas para iniciativas empreendedoras, economia popular solidária, pesquisa mercadológica, entre outras iniciativas que direcionam ao caminho do desenvolvimento sustentável. 



	c) Mostra de Responsabilidade Social da FACESM: A Mostra Social e Sustentável da FACESM tem por objetivo conscientizar e envolver os alunos da FACESM na promoção de ações sociais e sustentáveis junto à comunidade ao seu entorno, pretendendo com isto contribuir para a melhoria da comunidade local e levar a percepção social dos alunos envolvidos; traduzir os aspectos teóricos trabalhados nas disciplinas em ações efetivas de responsabilidade social e trabalhar o conceito de empreendedorismo social nos alunos envolvidos, desenvolvendo a sensibilidade social. 

	d) Seminário de Inovação e Criatividade da FACESM: é um espaço aberto para a apresentação e discussão de temas como: A criatividade e a inovação como diferencial Competitivo; A Lei de inovação; O impacto da inovação no desenvolvimento econômico e social; A iniciação científica e a inovação; gestão do capital intelectual nas organizações; oficinas de criatividade. 

	e) Projeto Cidadão Legal: é um projeto de educação tributária que visa promover a acessibilidade dos serviços contábeis à população da cidade e região, prestando serviços de consultoria e elaboração da declaração do imposto de renda da pessoa física e integrar o aluno no universo prático da profissão e no relacionamento social. Participam professores e alunos do Curso de Ciências Contábeis que prestam esclarecimentos de dúvidas sobre o IRPF, auxiliam no preenchimento e transmissão da declaração de ajuste anual e impressão completa com o respectivo recibo. O evento ocorre nos meses de março e abril, com treinamentos para os alunos e atendimentos aos contribuintes. 

	f) O Encontro Científico Sul Mineiro de Administração, Contabilidade e Economia – ECOSUL é desenvolvido com o objetivo de promover a iniciação à pesquisa nas áreas das ciências gerenciais, estimulando a comunidade 


discente e docente no desenvolvimento de iniciação científica e sua interação as atividades acadêmicas. 

	g) Fórum Econômico da FACESM: tem como objetivo principal o debate de ideias sobre desenvolvimento econômico regional entre especialistas em diversas áreas do conhecimento econômico, bem como a sua divulgação e disseminação na sociedade, junto ao Poder Público, empresas e organismos multilaterais de fomento e desenvolvimento. 

	h) Estágio Supervisionado: com um modelo que leva o aluno a integrar-se com a realidade da iniciação à pesquisa teórica e prática em uma realidade empresarial. 

	i) Visita Técnica às Empresas: São programas de visitação e intercâmbio com as empresas de referências para a concretização do aprendizado. 

	j) Programa de Iniciação Científica: programa que incentiva a capacidade do aluno em buscar novos conhecimentos para a comunidade científica. 
	k) Encontro de Administração Pública: tem como objetivos tratar de temas relevantes para a Administração Pública, na busca por melhorias em seu 
	processo de gestão dos recursos públicos, aperfeiçoar e gerar conhecimentos e propiciar maior qualificação aos profissionais que atuam na área. O evento conta com o apoio de organismos governamentais que tem os mesmos objetivos de contribuir com a sociedade na disseminação do conhecimento. 

	l) Programa de Apoio ao Microempreendedor Individual- PAMEI: Este programa possibilita aos alunos desenvolverem habilidades de instrutoria e consultoria, além de colaborar na formação de competências dos MEIS da região. 

	m) Laboratório de expressividade: atividades que levam os alunos a trabalhar habilidades de comunicação verbal e corporal através de aulas práticas de teatro, apresentação em público e vários instrumentos didáticos que aumentam a capacidade de expressão. 

	n) Laboratório de jogos de empresa: Os jogos empresariais na FACESM são desenvolvidos nos cursos de administração e economia e tem por objetivo aprimorar habilidades e reforçar conceitos relacionados às temáticas desenvolvidas em sala de aula, por meio da vivência em uma simulação empresarial. 

	o) O Laboratório empresa de Contabilidade: constituído de equipamentos de processamento de dados e sistemas contábeis computadorizados que permitam aos alunos obterem resultados teóricos e práticos adquiridos no decorrer do curso, através dos quais o aluno deve externar os seus conhecimentos, por meio de rotinas contábeis que se assemelham à prática real da contabilidade. 
	p) Encontro de Administração Pública: tem como objetivos tratar de temas relevantes para a Administração Pública, na busca por melhorias em seu 
	processo de gestão dos recursos públicos, aperfeiçoar e gerar conhecimentos e propiciar maior qualificação aos profissionais que atuam na área. O evento conta com o apoio de organismos governamentais que tem os mesmos objetivos de contribuir com a sociedade na disseminação do conhecimento. 

	q) Programa de Apoio ao Microempreendedor Individual- PAMEI: Este programa possibilita aos alunos desenvolverem habilidades de instrutoria e consultoria, além de colaborar na formação de competências dos MEIS da região. 
- Tecnologia de Informação
	
",,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Itajubá,MG,https://i.postimg.cc/43D91zyr/logo-facesm.png,https://facesm.br,dir.inppex@facesm.br, , , ,Instituição de Ensino Superior, ,Não,Administração - Contabilidade - Economia - Direito, , ,"
	a) Pré-incubação de empresas: programa que oportuniza e viabiliza a geração de demandas de novos negócios, direcionando os alunos para a autonomia e a novas possibilidades de um futuro promissor, através de sua própria capacidade empreendedora, construindo seu próprio futuro. Dentro da política de extensão, a FACESM está possibilitando aos alunos do ensino médio da cidade de Itajubá, a inclusão no ambiente do empreendedorismo através de sua pré-incubadora de empresas. Este programa que tem parceria com a Superintendência Regional de Ensino de Itajubá amplia os benefícios desta estrutura, abrindo novas perspectivas aos jovens das escolas públicas que necessitam da inserção no mercado de trabalho para continuar custeando seus estudos, ao mesmo tempo que auxilia a formação do perfil de seus futuros ingressantes. 

	b) Feira de Empreendedorismo da FACESM: é um evento que congrega várias iniciativas que auxiliam o desenvolvimento da cultura empreendedora na cidade de Itajubá e região. Este evento que se transformou em uma tradição no calendário da cidade de Itajubá, está cada vez mais agregando universitários, familiares, empresários e instituições públicas e privadas que interessam pelo desenvolvimento da região. Um espaço que se destina a exposição de projetos em fase de pré-incubação, instituições que fomentam a cultura empreendedora, projetos desenvolvidos na pré-incubadora de projetos sociais, trabalhos na área de empreendedorismo, projetos de inclusão da pedagogia empreendedora no ensino público, consultas tecnológicas para iniciativas empreendedoras, economia popular solidária, pesquisa mercadológica, entre outras iniciativas que direcionam ao caminho do desenvolvimento sustentável. 



	c) Mostra de Responsabilidade Social da FACESM: A Mostra Social e Sustentável da FACESM tem por objetivo conscientizar e envolver os alunos da FACESM na promoção de ações sociais e sustentáveis junto à comunidade ao seu entorno, pretendendo com isto contribuir para a melhoria da comunidade local e levar a percepção social dos alunos envolvidos; traduzir os aspectos teóricos trabalhados nas disciplinas em ações efetivas de responsabilidade social e trabalhar o conceito de empreendedorismo social nos alunos envolvidos, desenvolvendo a sensibilidade social. 

	d) Seminário de Inovação e Criatividade da FACESM: é um espaço aberto para a apresentação e discussão de temas como: A criatividade e a inovação como diferencial Competitivo; A Lei de inovação; O impacto da inovação no desenvolvimento econômico e social; A iniciação científica e a inovação; gestão do capital intelectual nas organizações; oficinas de criatividade. 

	e) Projeto Cidadão Legal: é um projeto de educação tributária que visa promover a acessibilidade dos serviços contábeis à população da cidade e região, prestando serviços de consultoria e elaboração da declaração do imposto de renda da pessoa física e integrar o aluno no universo prático da profissão e no relacionamento social. Participam professores e alunos do Curso de Ciências Contábeis que prestam esclarecimentos de dúvidas sobre o IRPF, auxiliam no preenchimento e transmissão da declaração de ajuste anual e impressão completa com o respectivo recibo. O evento ocorre nos meses de março e abril, com treinamentos para os alunos e atendimentos aos contribuintes. 

	f) O Encontro Científico Sul Mineiro de Administração, Contabilidade e Economia – ECOSUL é desenvolvido com o objetivo de promover a iniciação à pesquisa nas áreas das ciências gerenciais, estimulando a comunidade 


discente e docente no desenvolvimento de iniciação científica e sua interação as atividades acadêmicas. 

	g) Fórum Econômico da FACESM: tem como objetivo principal o debate de ideias sobre desenvolvimento econômico regional entre especialistas em diversas áreas do conhecimento econômico, bem como a sua divulgação e disseminação na sociedade, junto ao Poder Público, empresas e organismos multilaterais de fomento e desenvolvimento. 

	h) Estágio Supervisionado: com um modelo que leva o aluno a integrar-se com a realidade da iniciação à pesquisa teórica e prática em uma realidade empresarial. 

	i) Visita Técnica às Empresas: São programas de visitação e intercâmbio com as empresas de referências para a concretização do aprendizado. 

	j) Programa de Iniciação Científica: programa que incentiva a capacidade do aluno em buscar novos conhecimentos para a comunidade científica. 
	k) Encontro de Administração Pública: tem como objetivos tratar de temas relevantes para a Administração Pública, na busca por melhorias em seu 
	processo de gestão dos recursos públicos, aperfeiçoar e gerar conhecimentos e propiciar maior qualificação aos profissionais que atuam na área. O evento conta com o apoio de organismos governamentais que tem os mesmos objetivos de contribuir com a sociedade na disseminação do conhecimento. 

	l) Programa de Apoio ao Microempreendedor Individual- PAMEI: Este programa possibilita aos alunos desenvolverem habilidades de instrutoria e consultoria, além de colaborar na formação de competências dos MEIS da região. 

	m) Laboratório de expressividade: atividades que levam os alunos a trabalhar habilidades de comunicação verbal e corporal através de aulas práticas de teatro, apresentação em público e vários instrumentos didáticos que aumentam a capacidade de expressão. 

	n) Laboratório de jogos de empresa: Os jogos empresariais na FACESM são desenvolvidos nos cursos de administração e economia e tem por objetivo aprimorar habilidades e reforçar conceitos relacionados às temáticas desenvolvidas em sala de aula, por meio da vivência em uma simulação empresarial. 

	o) O Laboratório empresa de Contabilidade: constituído de equipamentos de processamento de dados e sistemas contábeis computadorizados que permitam aos alunos obterem resultados teóricos e práticos adquiridos no decorrer do curso, através dos quais o aluno deve externar os seus conhecimentos, por meio de rotinas contábeis que se assemelham à prática real da contabilidade. 
	p) Encontro de Administração Pública: tem como objetivos tratar de temas relevantes para a Administração Pública, na busca por melhorias em seu 
	processo de gestão dos recursos públicos, aperfeiçoar e gerar conhecimentos e propiciar maior qualificação aos profissionais que atuam na área. O evento conta com o apoio de organismos governamentais que tem os mesmos objetivos de contribuir com a sociedade na disseminação do conhecimento. 

	q) Programa de Apoio ao Microempreendedor Individual- PAMEI: Este programa possibilita aos alunos desenvolverem habilidades de instrutoria e consultoria, além de colaborar na formação de competências dos MEIS da região. 
- Tecnologia de Informação
	
",,,,,Não,,,,, 
UNIVERSIDADE FEDERAL DE OURO PRETO - UFOP,Universidade Federal (ICT pública),ICT | IES | Centro de P&D,,,,Instituição de Ensino Superior,nite@ufop.edu.br,Sim,"Ensino, pesquisa, pos-graduação e inovação",,,"Empreendedorismo, Ensino superior, Extensão, Pesquisa e desenvolvimento","Ensino, pesquisa, pos-graduação e inovação",,,,,,,,,Base de Conhecimento e P&D,Sim,Sim,Ouro Preto,MG,https://i.postimg.cc/Pqpp0Pj6/Logomarca-jpg-UFOP.jpg,https://ufop.br/,nite@ufop.edu.br, , , ,Instituição de Ensino Superior,nite@ufop.edu.br,Sim,"Ensino, pesquisa, pos-graduação e inovação", , ,"Ensino, pesquisa, pos-graduação e inovação",,,,,Não,,,,, 
