nome_organizacao,descricao_organizacao,categoria_organizacao,fase_investimento_busca_x,incentivos_fiscais_municipio_x,orgao_responsavel_cti_x,tipo_organizacao_x,contato_divulgacao_cientifica_x,possui_nit_x,areas_expertise_x,tese_investimento_x,num_startups_investidas_x,segmento_atuacao,programas_desenvolvimento_x,tecnologias_disruptivas,segmentacao_clientes_x,fase_negocio,fase_investimento_captada_x,preferencia_segmento_x,beneficios_programa_x,investimento_medio_startup_x,exige_equity_x,papel_no_ecossistema,cadastro_aprovado,autorizacao_divulgacao,cidade_sede,uf_sede,logo_url,site_organizacao,email_contato,fase_investimento_busca_y,incentivos_fiscais_municipio_y,orgao_responsavel_cti_y,tipo_organizacao_y,contato_divulgacao_cientifica_y,possui_nit_y,areas_expertise_y,tese_investimento_y,num_startups_investidas_y,programas_desenvolvimento_y,modelo_negocio,segmentacao_clientes_y,numero_funcionarios,fase_investimento_captada_y,busca_investimento,linkedin_url,preferencia_segmento_y,beneficios_programa_y,investimento_medio_startup_y,exige_equity_y
Evolue.me,"A Evolue.me surgiu com o propósito de revolucionar a comunicação de empresas e empreendedores, acreditando no poder transformador do design. Promovemos ambientes favoráveis à inovação e ao desenvolvimento pessoal, trilhando caminhos que, quando olhamos para trás, nos impressionamos com a jornada que percorremos.
Trabalhamos com Design de Negócios.",Demais Organizações,,,,,,,,,,"Eventos, Comunicação e Marketing","Eventos de Inovação e Empreendedorismo
Workshops e Treinamentos de Comunicação, Marketing, Design e Vendas e Inovação.
Desenvolvimento de Governança Corporativa e Ecossistemas de Inovação.",,,,,,,,,Demais Organizações,Sim,Sim,Sete Lagoas,MG,https://i.postimg.cc/jSvhV223/Evolue-me-Ativo-1.png,https://evolue.me,roni@evolue.me, , , , , , , , , ,"Eventos de Inovação e Empreendedorismo
Workshops e Treinamentos de Comunicação, Marketing, Design e Vendas e Inovação.
Desenvolvimento de Governança Corporativa e Ecossistemas de Inovação.",,,,,Não,,,,, 
Aline Nery Conexões E Negócios,Somos uma empresa de eventos e temos como missão conectar pessoas e empresas que possam transformar o mundo em um lugar cada vez melhor por meio da cooperação mútua. ,Demais Organizações,,,,,,,,,,Empresa de networking,"Como iniciativas desenvolvidas pela empresa, citamos as rodadas de negócios Xcalada Empresarial ( Instagran @xcaladaempresarial ) que aproxima as grandes industrias do Estado de Minas com os pequenos e médios empresários da regiao,  ja tendo conectado mais de 500 empresas. Citamos ainda a realização de 6 edições do Festival Conexas, cujo objetivo é a  promoção da inovação por meio do compartilhamento de experiências - cases - bem como palestras para disseminação de novos conceitos e ideias na comunidade de Sete Lagoas.",,,,,,,,,Demais Organizações,Sim,Sim,Sete Lagoas,MG,https://i.postimg.cc/qM4Qx5rt/IMG-7826.jpg,http://www.alinenery.com.br,setelagoanospelomundo@gmail.com, , , , , , , , , ,"Como iniciativas desenvolvidas pela empresa, citamos as rodadas de negócios Xcalada Empresarial ( Instagran @xcaladaempresarial ) que aproxima as grandes industrias do Estado de Minas com os pequenos e médios empresários da regiao,  ja tendo conectado mais de 500 empresas. Citamos ainda a realização de 6 edições do Festival Conexas, cujo objetivo é a  promoção da inovação por meio do compartilhamento de experiências - cases - bem como palestras para disseminação de novos conceitos e ideias na comunidade de Sete Lagoas.",,,,,Não,,,,, 
Mítikas Soluções,"A Mítikas atua em 3 frentes: Governança Corporativa (Conselho e Advising) para startups e pequenas empresas (Desenvolvimento de Negócios); intermediação de negócios em energia limpa (Sustentabilidade); e coaching executivo (Desenvolvimento humano). Em paralelo com o primeiro ponto, também existe foco em fortalecer o networking no ecossistema de inovação (do qual participo como investidor) e orientar startups que precisam de ajuda.",Demais Organizações,,,,,,,,,,Governança Corporativa,"Os propósitos principais são Conselho Consultivo, Advising, Intermediação de negócios em energia limpa.",,,,,,,,,Demais Organizações,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/L5z6DbsJ/Mitikas-Solucoes-sem-anel-Transp.png,https://mitikassolucoes.com.br/,mitikassolucoes@gmail.com, , , , , , , , , ,"Os propósitos principais são Conselho Consultivo, Advising, Intermediação de negócios em energia limpa.",,,,,Não,,,,, 
Sic ,"Somos uma empresa que presta serviços em 3 pilares: Cultura, Experiência(física e digital) e comunicação. Atendemos diversas empresas do setor privado, em vários estados do Brasil. Nosso foco é em trazer diferenciação para as empresas que atendemos nessas camadas. ",Demais Organizações,,,,,,,,,,Somos uma empresa de Comunicação com base tecnológica ,"Temos alguns produtos de comunicação interna para várias empresas do segmento de telecom, saúde e mercado imobilário.",,,,,,,,,Demais Organizações,Sim,Sim,Uberlândia,MG,https://i.postimg.cc/3RCv8037/Logo-Azul.png,https://sic.works,braulio@sic.works, , , , , , , , , ,"Temos alguns produtos de comunicação interna para várias empresas do segmento de telecom, saúde e mercado imobilário.",,,,,Não,,,,, 
VDS Tecnologia,"Especializada em comunicações unificadas, Call Center IP, infraestrutura em tecnologia da informação, segurança eletrônica e soluções de videoconferência, a VDS atua em todo o território nacional há 20 anos, tendo sua sede em Belo Horizonte.
Empresa inovadora, a VDS é uma das primeiras empresas do Brasil a enxergar o valor da plataforma de comunicação unificada e seus benefícios em termos de custos, produtividade, flexibilidade e integração. Assim a VDS vem desenvolvendo ao longo dos anos parcerias estratégicas com players mundiais na construção de soluções em comunicação para os mais diversos segmentos.",Demais Organizações,,,,,,,,,,Empresa de serviços de tecnologia e inovação,"Projetos estruturantes e de inovação em comunicação unificada, tecnologias de segurança e IoT.",,,,,,,,,Demais Organizações,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/SsChCgmx/Logo-VDS-Registrada.png,https://www.vdsip.com.br/,renato.pittol@gmail.com, , , , , , , , , ,"Projetos estruturantes e de inovação em comunicação unificada, tecnologias de segurança e IoT.",,,,,Não,,,,, 
Juliana Aparecida Barbosa LTDA ,"A empresa Juliana Aparecida Barbosa LTDA, nome fantasia Fisiolife Clínica Multidisciplinar, atua na área da Fisioterapia. Há também no espaço sublocação para outros profissionais da saude autônomos. A empresa encontra-se no município de São Sebastião do Paraíso e o objetivo principal é ser referência em reabilitação fisioterapêutica.",Demais Organizações,,,,,,,,,,Clínica Fisioterapêutica,"A Fisiolife atua na reabilitação fisioterapêutica, possui espaço de sublocação para profissionais autônomos da saúde, como biomedicina estética, fisioterapia e nutrição. 
A Fisiolife realiza oficinas voluntárias em uma assciação para crianças em vulnerabilidade em São Sebastião do Paraíso.
A Fisiolife tem espaço aberto para pessoas que desejem fazer estágio de observação ou desenvolver pesquisa científica no espaço.",,,,,,,,,Demais Organizações,Sim,Sim,São Sebastião do Paraíso,MG,https://i.postimg.cc/d1F304Q9/438766619-828687515947145-913792383494141947-n.jpg,https://www.instagram.com/fisiolifeparaiso/,fisiolifeparaiso@gmail.com, , , , , , , , , ,"A Fisiolife atua na reabilitação fisioterapêutica, possui espaço de sublocação para profissionais autônomos da saúde, como biomedicina estética, fisioterapia e nutrição. 
A Fisiolife realiza oficinas voluntárias em uma assciação para crianças em vulnerabilidade em São Sebastião do Paraíso.
A Fisiolife tem espaço aberto para pessoas que desejem fazer estágio de observação ou desenvolver pesquisa científica no espaço.",,,,,Não,,,,, 
Cervejaria El Peregrino LTDA,"A Cervejaria El Peregrino emerge como um marco na paisagem industrial de Machado, Minas Gerais, inserindo-se em um contexto histórico de renascimento da cultura cervejeira local. Fundada em 2017 por um grupo de empreendedores visionários, a empresa almejava resgatar a tradição cervejeira da região, que remonta ao século XIX, quando a imigração europeia trouxe consigo técnicas e saberes cervejeiros. Inspirados por essa herança, os fundadores da El Peregrino empreenderam uma jornada de pesquisa e experimentação, buscando conciliar métodos artesanais com inovações tecnológicas, resultando em uma linha distinta de cervejas que refletem tanto a riqueza histórica quanto a contemporaneidade da produção cervejeira local.
O nome ""El Peregrino"" evoca a ideia de jornada e descoberta, refletindo o espírito exploratório que impulsionou os primeiros passos da empresa. Essa mentalidade permeia não apenas o processo de produção, mas também a missão da cervejaria, que busca constantemente novos horizontes gustativos e culturais. A escolha de Machado como sede da empresa não é fortuita, mas sim estratégica, considerando a tradição agrícola da região e a possibilidade de atuação em conjunto com instituições de ensino e pesquisa especializados na produção de cerveja e outras bebidas de excelência.
A trajetória da Cervejaria El Peregrino é marcada por desafios e conquistas, destacando-se sua inserção no mercado local e regional como uma marca de prestígio e qualidade. Além disso, a empresa tem desempenhado um papel significativo na promoção do turismo cervejeiro em Machado, abrindo suas portas para visitantes interessados em conhecer de perto o processo de fabricação e degustar suas criações. Com um olhar voltado para o futuro, a El Peregrino visa expandir sua atuação, conquistando novos mercados e consolidando-se como uma referência na cena cervejeira nacional.",Demais Organizações,,,,,,,,,,"Microempresa atuante na produção, desenvolvimento e inovação de cervejas artesanais","Podemos destacar como algumas iniciativas: a El Peregrino visa fomentar a economia local, sempre dando preferencia para compra de insumos e ingredientes da região; Desenvolvimento de bebidas sazonais utilizando frutas cultivadas no município; Participação em concursos que fortalecem o consumo de bebidas de produção local; Promove um novo ponto de interesse no seu município, seja para turistas, visitantes ou residentes. ",,,,,,,,,Demais Organizações,Sim,Sim,Machado,MG,https://i.postimg.cc/k5jtCg3N/LOGOTIPOELPEREGRINO.jpg,https://www.instagram.com/elperegrinochopp?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,anaclaratorre95@gmail.com, , , , , , , , , ,"Podemos destacar como algumas iniciativas: a El Peregrino visa fomentar a economia local, sempre dando preferencia para compra de insumos e ingredientes da região; Desenvolvimento de bebidas sazonais utilizando frutas cultivadas no município; Participação em concursos que fortalecem o consumo de bebidas de produção local; Promove um novo ponto de interesse no seu município, seja para turistas, visitantes ou residentes. ",,,,,Não,,,,, 
Cooperativa dos Produtores Rurais da Região de São Simão,Compra e Venda de leite,Demais Organizações,,,,,,,,,,COOPERATIVA,Cooperativa com base na cooperação reciproca a que se abrigam seus cooperados,,,,,,,,,Demais Organizações,Sim,Sim,Abaeté,MG,https://i.postimg.cc/pr0CSLZS/LOGO-USAR.png,https://cnpj.biz/18712772000111,assppassabaete@hotmail.com, , , , , , , , , ,Cooperativa com base na cooperação reciproca a que se abrigam seus cooperados,,,,,Não,,,,, 
Búfalo Ferramentas Ltda.,Produção de ferramentas,Demais Organizações,,,,,,,,,,Fabricação de ferramentas,"A diretora é conselheira municipal do Conselho de defesa social há mais de 10 ano, vice-presidente da Associação Comercial e industrial de Sete Lagoas, vice-presidente de grupo de mulheres empreendedoras, rotariana, etc",,,,,,,,,Demais Organizações,Sim,Sim,Sete Lagoas,MG,https://i.postimg.cc/4d5XPyrr/Whats-App-Image-2024-04-24-at-22-22-01.jpg,https://lp.bufalo.ind.br/,rosanibufalo@yahoo.com.br, , , , , , , , , ,"A diretora é conselheira municipal do Conselho de defesa social há mais de 10 ano, vice-presidente da Associação Comercial e industrial de Sete Lagoas, vice-presidente de grupo de mulheres empreendedoras, rotariana, etc",,,,,Não,,,,, 
UTB COMERCIALIZAÇÃO DE INGRESSOS LTDA,"UTB COMERCIALIZAÇÃO DE INGRESSOS LTDA, tem por objeto serviços de turismo, desenvolvimento e licenciamento de programas de computador, treinamento em desenvolvimento profissional e gerencial, consultoria em gestão empresarial, intermediação e agenciamento de serviços e negócios, aluguel de maquinas e equipamentos sem operador, portal e provedor de conteúdo e outros serviços de informação na internet e edição de revistas. ",Demais Organizações,,,,,,,,,,EPP,Soluções tecnológicas para gestão de Eventos por meio de Plataforma que integra a venda de ingressos online e físicos,,,,,,,,,Demais Organizações,Sim,Sim,Juiz de Fora,MG,https://i.postimg.cc/zfdRqcn8/Whats-App-Image-2024-04-19-at-19-18-09.jpg,https://www.uniticket.com.br,danilo@uniticket.com.br, , , , , , , , , ,Soluções tecnológicas para gestão de Eventos por meio de Plataforma que integra a venda de ingressos online e físicos,,,,,Não,,,,, 
